good,medium,bad
128,152,120
148,35,1
228,42,2
239,77,12
375,83,8
311,90,9
242,34,4
222,84,0
235,91,2
237,102,3
231,62,3
172,70,0
142,42,0
193,110,1
113,98,9
135,141,12
262,105,13
279,141,24
286,120,2
263,108,27
241,86,7
327,85,6
333,45,6
303,122,5
272,102,4
226,161,193
201,142,143
256,115,51
264,147,21
314,141,3
355,158,15
323,168,87
280,173,13
368,163,27
313,292,75
252,233,41
302,263,109
274,268,98
285,293,74
306,304,58
421,201,86
289,197,14
299,195,4
346,139,3
287,145,18
366,162,20
307,141,22
404,134,22
366,145,9
331,158,31
395,127,24
360,128,26
428,166,30
460,291,59
298,87,11
15,5,0
2,0,0
279,136,5
423,175,6
305,197,60
259,247,74
310,230,10
228,207,7
282,253,29
397,172,9
372,110,34
276,100,4
271,103,24
285,67,2
381,176,53
408,147,87
303,210,45
306,168,24
334,153,35
310,120,38
414,144,30
344,73,3
327,73,2
335,51,2
362,165,19
344,171,109
283,139,112
388,179,7
332,318,52
222,256,58
180,224,42
196,201,29
205,237,70
356,183,37
315,154,33
306,214,16
334,169,13
291,252,31
438,140,40
463,228,39
464,101,7
308,118,2
363,151,24
301,99,0
