server,bus1,bus2,bus3
215,18,135,32,
134,27,14,9,
186,25,34,27,
266,16,31,15,
319,39,75,33,
318,22,40,30,
200,18,40,22,
231,16,22,37,
237,17,47,27,
251,26,37,28,
218,11,43,24,
158,14,38,32,
143,6,20,15,
249,10,26,19,
184,8,16,12,
237,11,17,23,
273,16,56,35,
307,30,60,47,
333,15,38,22,
300,22,38,38,
215,27,51,41,
292,18,63,45,
246,30,75,33,
258,37,68,67,
255,26,55,42,
441,27,75,37,
345,35,57,49,
307,27,45,43,
246,40,68,78,
325,34,64,35,
335,54,81,58,
412,30,86,50,
341,23,69,33,
358,40,86,74,
489,47,87,57,
423,23,51,29,
506,34,85,49,
491,35,70,44,
510,32,72,38,
555,26,57,30,
447,72,120,69,
362,28,69,41,
375,28,67,28,
339,37,69,43,
334,22,65,29,
399,36,72,41,
295,60,66,49,
380,33,98,49,
371,25,79,45,
331,28,90,71,
357,44,84,61,
329,36,80,69,
393,72,62,97,
496,93,112,109,
255,40,66,35,
14,2,3,1,
1,0,1,0,
282,42,54,42,
398,76,71,59,
426,30,60,46,
443,31,67,39,
449,20,55,26,
377,13,35,17,
470,21,50,23,
382,34,90,72,
301,47,93,75,
266,26,61,27,
254,37,50,57,
242,20,58,34,
407,54,78,71,
371,65,91,115,
366,42,81,69,
311,35,83,69,
326,44,83,69,
314,32,60,62,
386,29,83,90,
219,42,66,93,
229,40,77,56,
202,47,67,72,
389,30,66,61,
405,43,91,85,
385,31,67,51,
334,61,79,100,
515,51,73,63,
434,27,48,27,
386,16,26,18,
376,19,18,13,
453,18,16,25,
395,37,76,68,
289,35,82,96,
378,45,54,59,
380,19,60,57,
462,39,39,34,
414,51,69,84,
496,53,86,95,
336,69,70,97,
228,38,80,82,
338,48,102,50,
247,36,67,50,
