good,medium,bad
228,128,44
162,22,0
228,43,1
252,74,2
361,94,11
273,131,6
242,33,5
211,95,0
235,90,3
232,109,1
262,34,0
199,43,0
123,61,0
175,129,0
112,96,12
147,139,2
295,79,6
363,80,1
321,87,0
276,111,11
298,36,0
345,68,5
332,49,3
344,83,3
349,29,0
453,120,7
353,124,9
283,114,25
337,92,3
326,127,5
468,60,0
383,152,43
389,77,0
502,56,0
513,164,3
371,151,4
470,189,15
242,302,96
435,210,7
275,341,52
607,97,4
317,172,11
349,148,1
346,139,3
409,41,0
358,181,9
350,118,2
418,129,13
344,164,12
337,114,69
320,139,87
450,62,2
457,160,7
482,269,59
322,64,10
17,3,0
1,1,0
305,110,5
524,80,0
393,128,41
382,167,31
405,143,2
224,215,3
275,267,22
527,49,2
385,107,24
276,100,4
329,68,1
296,56,2
537,73,0
433,122,87
327,194,37
335,148,15
353,141,28
323,104,41
424,137,27
363,53,4
334,67,1
337,50,1
391,133,22
362,170,92
405,94,35
510,62,2
534,160,8
371,155,10
190,206,50
341,85,0
388,111,13
498,76,2
448,52,2
445,90,1
454,61,1
447,125,2
525,74,19
637,93,0
542,30,0
402,26,0
467,70,1
297,103,0
