good,medium,bad
308,87,5
181,3,0
256,16,0
271,55,2
413,53,0
339,71,0
265,15,0
249,57,0
286,41,1
299,43,0
278,18,0
211,31,0
161,23,0
264,40,0
187,33,0
238,48,2
335,44,1
380,64,0
375,33,0
340,58,0
293,41,0
385,33,0
349,34,1
392,38,0
352,26,0
443,125,12
447,39,0
359,59,4
383,48,1
398,59,1
449,79,0
465,108,5
376,90,0
495,60,3
491,185,4
380,140,6
478,183,13
419,206,15
447,199,6
443,217,8
597,104,7
400,96,4
406,92,0
415,73,0
394,56,0
484,63,1
425,45,0
508,51,1
455,64,1
434,83,3
497,46,3
463,47,4
575,47,2
651,153,6
362,33,1
14,6,0
2,0,0
384,36,0
533,71,0
407,127,28
405,166,9
421,127,2
320,122,0
407,153,4
522,56,0
454,51,11
330,46,4
329,68,1
316,38,0
503,106,1
534,91,17
463,92,3
429,62,7
450,71,1
367,88,13
518,64,6
395,25,0
366,36,0
370,18,0
445,99,2
453,129,42
438,94,2
515,59,0
516,175,11
346,181,9
294,137,15
311,111,4
331,173,8
470,101,5
443,59,0
428,108,0
438,76,2
431,142,1
526,86,6
596,131,3
532,40,0
396,32,0
453,82,3
350,50,0
