server,bus1,bus2,bus3
182,23,155,40,
99,7,66,12,
224,19,24,5,
240,30,44,14,
289,46,77,54,
226,32,87,65,
136,29,64,51,
175,15,76,40,
182,36,75,35,
197,38,78,29,
151,31,73,41,
123,20,67,32,
108,13,47,16,
187,23,75,19,
133,19,57,11,
213,15,51,9,
267,41,49,23,
293,41,61,49,
224,44,98,42,
237,40,74,47,
181,36,78,39,
181,80,101,56,
156,63,111,54,
198,85,98,49,
230,43,57,48,
364,72,96,48,
288,53,80,65,
274,31,60,57,
237,55,69,71,
249,46,94,69,
300,62,87,79,
370,51,90,67,
319,37,70,40,
322,70,91,75,
431,71,104,74,
410,28,61,27,
533,39,62,40,
481,35,90,34,
485,37,90,40,
516,31,79,42,
414,95,103,96,
367,49,54,30,
381,40,47,30,
305,62,71,50,
291,60,61,38,
343,74,69,62,
235,87,63,85,
320,81,100,59,
320,83,75,42,
301,76,97,46,
332,77,82,55,
319,67,81,47,
327,106,99,92,
454,125,112,119,
220,68,60,48,
10,4,3,3,
1,0,1,0,
242,57,64,57,
352,87,71,94,
369,43,88,62,
455,21,69,35,
427,27,77,19,
343,20,66,13,
464,25,56,19,
367,63,74,74,
309,76,60,71,
295,31,23,31,
283,38,40,37,
218,41,46,49,
411,75,64,60,
379,106,73,84,
333,76,80,69,
285,79,69,65,
307,66,93,56,
277,66,71,54,
345,65,112,66,
224,51,72,73,
209,55,80,58,
203,62,76,47,
374,56,68,48,
397,83,80,64,
366,35,83,50,
352,88,78,56,
499,52,85,66,
434,21,55,26,
361,22,41,22,
371,17,23,15,
439,21,29,23,
418,43,66,49,
312,59,61,70,
377,38,46,75,
364,32,53,67,
456,36,43,39,
398,59,66,95,
472,73,98,87,
301,114,84,73,
248,44,70,66,
333,60,84,61,
228,50,63,59,
