server,bus1,bus2,bus3
145,153,88,14,
83,63,28,10,
136,78,41,17,
162,68,70,28,
205,130,81,50,
161,98,75,76,
104,86,60,30,
111,80,49,66,
114,89,75,50,
129,83,69,61,
94,76,78,48,
113,42,19,68,
67,41,51,25,
129,59,67,49,
104,43,43,30,
167,59,38,24,
170,84,75,51,
241,60,61,82,
147,94,94,73,
136,101,91,70,
203,58,25,48,
123,115,112,68,
117,104,98,65,
154,92,108,76,
220,71,37,50,
360,81,65,74,
213,89,110,74,
197,76,88,61,
156,81,110,85,
204,76,93,85,
325,58,69,76,
236,97,134,111,
334,40,42,50,
321,78,79,80,
419,76,93,92,
382,35,72,37,
493,46,85,50,
295,107,133,105,
454,50,96,52,
290,114,155,109,
384,78,140,106,
215,71,135,79,
223,76,129,70,
186,80,138,84,
288,36,79,47,
223,91,137,97,
186,79,106,99,
209,112,134,105,
213,97,113,97,
217,91,113,99,
212,84,135,115,
305,75,51,83,
232,114,140,138,
308,157,171,174,
162,62,87,85,
11,0,4,5,
2,0,0,0,
169,68,106,77,
339,75,85,105,
414,43,64,41,
435,36,64,45,
449,30,39,32,
241,48,81,72,
305,82,113,64,
371,55,95,57,
222,87,113,94,
179,43,95,63,
261,32,66,39,
175,42,85,52,
378,55,104,73,
235,124,145,138,
262,96,112,88,
249,71,97,81,
236,78,114,94,
223,86,83,76,
289,75,123,101,
167,60,109,84,
190,46,90,76,
160,62,93,73,
254,69,117,106,
252,77,160,135,
295,48,120,71,
335,46,127,66,
486,36,120,60,
431,23,49,33,
251,62,72,61,
368,19,24,15,
428,19,34,31,
416,46,80,34,
308,59,92,43,
383,42,69,42,
345,37,86,48,
432,36,61,45,
386,45,106,81,
452,57,128,93,
296,99,117,60,
285,21,80,42,
352,30,103,53,
212,59,49,80,
