good,medium,bad
343,83,64
444,39,3
395,68,69
539,88,27
533,85,6
499,60,25
381,61,20
628,132,84
535,207,110
633,84,15
565,78,37
442,137,129
441,23,10
524,126,44
554,92,0
439,116,57
598,80,8
524,100,158
557,189,134
522,172,68
550,243,155
609,87,82
447,124,169
668,145,97
468,186,262
519,102,139
605,131,56
503,162,101
503,111,186
527,56,35
654,168,38
518,99,349
488,202,236
489,137,236
314,124,286
404,154,400
515,96,199
601,141,84
477,160,389
548,148,308
299,94,891
405,205,434
549,226,121
481,117,306
606,240,226
379,95,608
344,210,714
262,122,750
324,216,478
491,235,338
462,78,200
411,96,335
334,207,593
506,151,475
308,128,958
24,26,1116
502,156,370
408,144,204
490,136,314
383,168,565
369,195,540
322,98,664
570,138,160
452,146,44
502,30,0
513,91,6
593,154,95
656,98,122
197,6,25
379,160,521
420,187,759
454,161,403
197,143,932
521,138,431
178,68,1034
202,53,1119
113,89,1094
0,0,1460
0,0,1462
0,0,1466
0,0,1298
0,0,1552
0,0,1282
0,0,1236
0,0,1158
0,0,1240
0,0,1304
273,124,833
169,74,1081
0,0,1340
209,142,719
398,152,532
345,164,681
309,42,143
426,186,282
502,251,435
385,235,564
299,171,644
526,200,526
0,0,1516
