server,bus1,bus2,bus3
453,37,0,0,
450,36,0,0,
488,44,0,0,
598,56,0,0,
586,38,0,0,
542,42,0,0,
430,32,0,0,
781,63,0,0,
785,67,0,0,
690,42,0,0,
629,51,0,0,
651,57,0,0,
443,31,0,0,
644,50,0,0,
622,24,0,0,
560,52,0,0,
646,40,0,0,
699,83,0,0,
800,80,0,0,
699,63,0,0,
874,74,0,0,
740,38,0,0,
667,73,0,0,
835,75,0,0,
833,83,0,0,
704,56,0,0,
750,42,0,0,
721,45,0,0,
714,86,0,0,
580,38,0,0,
780,80,0,0,
872,94,0,0,
860,66,0,0,
765,97,0,0,
658,66,0,0,
853,105,0,0,
751,59,0,0,
770,56,0,0,
940,86,0,0,
907,97,0,0,
1103,181,0,0,
938,106,0,0,
832,64,0,0,
816,88,0,0,
958,114,0,0,
923,159,0,0,
1101,167,0,0,
1008,126,0,0,
920,98,0,0,
976,88,0,0,
655,85,0,0,
734,108,0,0,
1013,121,0,0,
1000,132,0,0,
1163,231,0,0,
1041,125,0,0,
930,98,0,0,
683,73,0,0,
806,134,0,0,
986,130,0,0,
944,160,0,0,
986,98,0,0,
806,62,0,0,
608,34,0,0,
509,23,0,0,
571,39,0,0,
779,63,0,0,
795,81,0,0,
218,10,0,0,
941,119,0,0,
1179,187,0,0,
902,116,0,0,
1131,141,0,0,
936,154,0,0,
1117,163,0,0,
1161,213,0,0,
1051,245,0,0,
1248,212,0,0,
1186,276,0,0,
1248,218,0,0,
1100,198,0,0,
1254,298,0,0,
1121,161,0,0,
1107,129,0,0,
1021,137,0,0,
1079,161,0,0,
1133,171,0,0,
1048,182,0,0,
1097,227,0,0,
1149,191,0,0,
981,89,0,0,
940,142,0,0,
1048,142,0,0,
437,57,0,0,
784,110,0,0,
1011,177,0,0,
1058,126,0,0,
1012,102,0,0,
1098,154,0,0,
1254,262,0,0,
