episode,episode_step,total_reward,mean_reward,loss,mse,mae,mean_q
1,400,278.822747688669,0.6970568692216724,0.0023226278246282228, 0.0046452556492564455,0.031669876923674484,0.9979597781341916
2,184,129.0729187128802,0.701483253874349,0.0005860610399395227, 0.0011721220798790455,0.016634488478302956,1.1002509593963623
3,272,190.3014100842916,0.6996375370746015,0.0005031909677200019, 0.0010063819354400039,0.013484221883118153,1.1796008348464966
4,328,227.04644662727026,0.6922147763026533,0.0007065846584737301, 0.0014131693169474602,0.015373071655631065,1.274432897567749
5,466,322.75186494248084,0.6926005685460962,0.000784234784077853, 0.001568469568155706,0.014768203720450401,1.3854397535324097
6,410,286.63771226164596,0.6991163713698682,0.0010883650975301862, 0.0021767301950603724,0.01674506813287735,1.4935650825500488
7,280,194.71247664819475,0.6954017023149812,0.0008341280627064407, 0.0016682561254128814,0.015438377857208252,1.5735735893249512
8,306,214.4394847696627,0.700782629966218,0.0012698343489319086, 0.002539668697863817,0.018166011199355125,1.6347519159317017
9,328,229.00272004063532,0.698179024514132,0.0015393152134492993, 0.0030786304268985987,0.019714001566171646,1.6963965892791748
10,342,238.95539355112425,0.6986999811436382,0.0017852463060989976, 0.003570492612197995,0.019328614696860313,1.757045865058899
11,296,206.38579750864034,0.6972493159075687,0.0020035833586007357, 0.004007166717201471,0.023649659007787704,1.8073796033859253
12,242,169.51227315997312,0.7004639386775748,0.0015137968584895134, 0.003027593716979027,0.018405063077807426,1.8494267463684082
13,184,129.07600000000002,0.7015000000000001,0.001653648796491325, 0.00330729759298265,0.019817639142274857,1.8794472217559814
14,304,213.25600000000003,0.7015000000000001,0.0028804598841816187, 0.005760919768363237,0.022756706923246384,1.9105168581008911
15,220,150.9969640687872,0.6863498366763054,0.0028020066674798727, 0.005604013334959745,0.025322992354631424,1.9407562017440796
16,288,200.94939549636692,0.6977409565846073,0.0018980681197717786, 0.003796136239543557,0.020569927990436554,1.9719045162200928
17,380,260.1934879420428,0.684719705110639,0.003318557981401682, 0.006637115962803364,0.028699619695544243,2.00272798538208
18,444,307.1196263264348,0.6917108701045829,0.0028882529586553574, 0.005776505917310715,0.024097874760627747,2.0378646850585938
19,408,285.86580790209985,0.700651489956127,0.00355281843803823, 0.00710563687607646,0.027439961209893227,2.069786787033081
20,398,271.9368355486871,0.6832583807755958,0.004418499302119017, 0.008836998604238033,0.030788704752922058,2.098071813583374
21,334,232.22698704928465,0.6952903803870798,0.003897089743986726, 0.007794179487973452,0.03128200024366379,2.1195883750915527
22,418,288.7068952382825,0.690686352244695,0.003227467183023691, 0.006454934366047382,0.025259805843234062,2.1430652141571045
23,384,266.5001393634134,0.6940107795922223,0.004221494775265455, 0.00844298955053091,0.02961266227066517,2.1582090854644775
24,430,298.94724112088886,0.695226142141602,0.004379156976938248, 0.008758313953876495,0.03172094374895096,2.174516439437866
25,378,264.6777480514329,0.7002056826757485,0.004153015092015266, 0.008306030184030533,0.030378077179193497,2.1896145343780518
26,580,368.130106464806,0.6347070801117345,0.004524959251284599, 0.009049918502569199,0.03339320048689842,2.20023775100708
27,486,340.39542899807424,0.7004021172799881,0.004042584914714098, 0.008085169829428196,0.03227934241294861,2.2012851238250732
28,422,277.79126259119164,0.6582731341023499,0.005680736619979143, 0.011361473239958286,0.03864290937781334,2.2088890075683594
29,432,296.6312415500439,0.6866463924769535,0.005072164814919233, 0.010144329629838467,0.036873094737529755,2.2155044078826904
30,458,317.5943764018952,0.6934375030609066,0.004655918572098017, 0.009311837144196033,0.03705808147788048,2.221761465072632
31,528,367.2024123941104,0.6954591143827848,0.0046083140186965466, 0.009216628037393093,0.03437067195773125,2.2277908325195312
32,578,371.2149412269637,0.6422403827456119,0.004406670108437538, 0.008813340216875076,0.03642667084932327,2.2356455326080322
33,466,325.3695054419817,0.6982178228368706,0.004926699213683605, 0.00985339842736721,0.03582892194390297,2.230771541595459
34,558,374.462759819707,0.6710802147306577,0.005347640719264746, 0.010695281438529491,0.03902122750878334,2.2333428859710693
35,680,450.6371117070818,0.6627016348633555,0.005299606826156378, 0.010599213652312756,0.04076528549194336,2.2263455390930176
36,526,352.9194009620888,0.6709494314868608,0.006058326922357082, 0.012116653844714165,0.0426950678229332,2.231898307800293
37,674,426.5277581052068,0.6328305016397726,0.006008792202919722, 0.012017584405839443,0.0437532514333725,2.2246859073638916
38,640,383.7386396665713,0.5995916244790177,0.006629099138081074, 0.013258198276162148,0.04644998162984848,2.2112300395965576
39,652,396.0000838683219,0.6073620918225796,0.007607595529407263, 0.015215191058814526,0.052720583975315094,2.185063600540161
40,668,428.65998269264594,0.6417065609171346,0.007835309021174908, 0.015670618042349815,0.057424306869506836,2.149585485458374
41,708,431.16593489261413,0.6089914334641443,0.007597141899168491, 0.015194283798336983,0.05733398348093033,2.140233278274536
42,500,341.26076081306206,0.6825215216261241,0.008651104755699635, 0.01730220951139927,0.06052969768643379,2.110889196395874
43,498,348.66482792306243,0.7001301765523342,0.00917506031692028, 0.01835012063384056,0.06184098497033119,2.1116368770599365
44,488,341.0502328297057,0.6988734279297247,0.007062877528369427, 0.014125755056738853,0.053831327706575394,2.126657485961914
45,450,309.97393145035664,0.6888309587785704,0.007643129210919142, 0.015286258421838284,0.05649121105670929,2.1302313804626465
46,548,372.72770734138504,0.6801600498930384,0.007152125705033541, 0.014304251410067081,0.050818730145692825,2.140411376953125
47,470,326.647307728178,0.6949942717620808,0.0066315364092588425, 0.013263072818517685,0.0504780076444149,2.160637855529785
48,560,381.37267768739616,0.6810226387274931,0.005769783165305853, 0.011539566330611706,0.04490033537149429,2.189561128616333
49,520,360.0450945417224,0.6923944125802354,0.005839220248162746, 0.011678440496325493,0.043665945529937744,2.2197649478912354
50,520,332.05021279649884,0.6385581015317285,0.004930378869175911, 0.009860757738351822,0.038298651576042175,2.2463936805725098
51,546,356.9947236168366,0.6538364901407264,0.0048395139165222645, 0.009679027833044529,0.03840746730566025,2.2364771366119385
52,514,340.07919793039093,0.661632680798426,0.0056205978617072105, 0.011241195723414421,0.039954446256160736,2.2559115886688232
53,624,407.2761764524591,0.6526861802122742,0.005918796174228191, 0.011837592348456383,0.042300090193748474,2.2380611896514893
54,810,511.8401154266893,0.6319013770699868,0.007380098104476929, 0.014760196208953857,0.05023865029215813,2.219672679901123
55,396,267.07804302461966,0.6744395025874234,0.007018419448286295, 0.01403683889657259,0.05086824670433998,2.197270631790161
56,20,14.029999999999996,0.7014999999999998,0.008955034427344799, 0.017910068854689598,0.05443180352449417,2.2103700637817383
57,2,1.4029999999999998,0.7014999999999999,0.0018657250329852104, 0.003731450065970421,0.04150410741567612,2.2813220024108887
58,420,286.5595929697183,0.682284745165996,0.007591375149786472, 0.015182750299572945,0.05216103419661522,2.1989505290985107
59,604,417.7063853762628,0.6915668632057331,0.00780574232339859, 0.01561148464679718,0.05398960039019585,2.1940646171569824
60,562,346.17231739538454,0.6159649775718586,0.007721418980509043, 0.015442837961018085,0.053266581147909164,2.196814775466919
61,580,350.5490479485211,0.6043949102560708,0.0069317142479121685, 0.013863428495824337,0.0506301075220108,2.160349130630493
62,550,382.50160780920316,0.6954574687440057,0.007750971708446741, 0.015501943416893482,0.05384758487343788,2.1661293506622314
63,442,308.68018385464893,0.6983714566847261,0.006917451974004507, 0.013834903948009014,0.04999414458870888,2.1708569526672363
64,564,385.6428917493061,0.6837639924633087,0.006565633229911327, 0.013131266459822655,0.04586276784539223,2.182185411453247
65,578,397.6697415806152,0.6880099335304761,0.006680330727249384, 0.013360661454498768,0.04590051993727684,2.1847281455993652
66,516,328.9614023367383,0.6375220975518183,0.005946957040578127, 0.011893914081156254,0.04098239541053772,2.213682174682617
67,380,260.37326248392196,0.6851927960103209,0.004962910432368517, 0.009925820864737034,0.040511202067136765,2.209554672241211
68,398,262.12242587061723,0.6585990599764252,0.004873547237366438, 0.009747094474732876,0.03894581273198128,2.217221975326538
69,354,246.06140028791555,0.6950887013782925,0.00585075281560421, 0.01170150563120842,0.040107712149620056,2.2040176391601562
70,610,395.7025844421199,0.6486927613805245,0.006004392635077238, 0.012008785270154476,0.040929555892944336,2.197035789489746
71,642,391.2354224165058,0.609400969496115,0.0066326637752354145, 0.013265327550470829,0.04571438580751419,2.2301957607269287
72,558,381.02313332088727,0.6828371564890453,0.0059189144521951675, 0.011837828904390335,0.043356046080589294,2.2078630924224854
73,498,334.75415328848544,0.672197094956798,0.007106654811650515, 0.01421330962330103,0.04630057141184807,2.211479902267456
74,522,354.8997170947986,0.6798845155072769,0.007043128367513418, 0.014086256735026836,0.04550882428884506,2.2040767669677734
75,468,290.1391576434335,0.6199554650500716,0.00646951561793685, 0.0129390312358737,0.046540766954422,2.2004895210266113
76,588,388.60782994667585,0.6608976699773399,0.006753450725227594, 0.013506901450455189,0.048446353524923325,2.183462619781494
77,420,291.19899283329954,0.6933309353173799,0.006743737496435642, 0.013487474992871284,0.04665845260024071,2.1885790824890137
78,402,279.34897774891186,0.6948979545992833,0.0067860824055969715, 0.013572164811193943,0.046262580901384354,2.1844472885131836
79,388,269.4353953362273,0.6944211220005858,0.0069680423475801945, 0.013936084695160389,0.047375813126564026,2.1961443424224854
80,546,369.88529794778464,0.6774456006369682,0.006579060573130846, 0.013158121146261692,0.0432581827044487,2.203951597213745
81,624,364.4329120583694,0.5840271026576433,0.006636530160903931, 0.013273060321807861,0.04463813081383705,2.2056713104248047
82,534,327.4710820268683,0.6132417266420755,0.0055680060759186745, 0.011136012151837349,0.04097737744450569,2.184673547744751
83,574,390.87567228869796,0.6809680701893692,0.005740574561059475, 0.01148114912211895,0.04076794907450676,2.177093982696533
84,702,465.08577934471884,0.6625153551919072,0.005059496033936739, 0.010118992067873478,0.040698498487472534,2.17494535446167
85,536,362.29756802176905,0.6759282985480766,0.005924046039581299, 0.011848092079162598,0.04443291574716568,2.1920387744903564
86,446,301.30548272336534,0.6755728312183079,0.005888517014682293, 0.011777034029364586,0.043904948979616165,2.2005066871643066
87,426,295.97611695257206,0.6947796172595588,0.005902035161852837, 0.011804070323705673,0.04524526372551918,2.2017822265625
88,512,354.50437860538005,0.6923913644636329,0.005842140875756741, 0.011684281751513481,0.04328892379999161,2.197500705718994
89,576,394.27198613762306,0.6844999759333734,0.005332825239747763, 0.010665650479495525,0.042961396276950836,2.1960043907165527
90,502,343.06137332007665,0.6833891898806308,0.005653174128383398, 0.011306348256766796,0.04318058490753174,2.1972525119781494
91,536,366.99830955798154,0.6846983387275775,0.005943335127085447, 0.011886670254170895,0.04314028471708298,2.2372782230377197
92,516,350.812151125321,0.6798685099327927,0.005810178816318512, 0.011620357632637024,0.04549821838736534,2.2579753398895264
93,574,376.5860685820455,0.6560732902126228,0.006157433148473501, 0.012314866296947002,0.04222288355231285,2.25842022895813
94,618,399.53764380468147,0.646501041755148,0.005712222773581743, 0.011424445547163486,0.040990300476551056,2.2539825439453125
95,730,465.31093275610874,0.6374122366522037,0.005683787167072296, 0.011367574334144592,0.04137306660413742,2.245439291000366
96,572,397.4107075694122,0.6947739642821892,0.005805087275803089, 0.011610174551606178,0.04369420185685158,2.234023332595825
97,428,299.07162188040604,0.6987654716831917,0.005898626055568457, 0.011797252111136913,0.042433906346559525,2.23054575920105
98,538,361.86207707508913,0.6726060912176378,0.005606948398053646, 0.011213896796107292,0.04370458051562309,2.228968381881714
99,400,280.0925583805708,0.7002313959514269,0.0059229712933301926, 0.011845942586660385,0.04301132261753082,2.2267801761627197
