server,bus1,bus2,bus3
448,62,116,124,
387,51,72,37,
563,53,128,39,
436,46,128,26,
374,65,113,39,
514,74,160,58,
375,76,153,91,
339,56,109,59,
483,86,200,104,
630,68,112,100,
579,122,139,107,
388,54,101,72,
533,103,137,68,
614,57,87,79,
650,99,156,87,
693,65,90,71,
482,87,123,87,
479,113,133,91,
561,95,147,97,
605,89,114,94,
593,130,130,108,
470,122,152,139,
576,152,198,165,
447,117,149,121,
517,114,170,125,
505,77,133,94,
621,119,168,127,
618,107,189,153,
577,121,186,143,
636,135,174,156,
586,142,192,131,
596,102,179,141,
702,139,198,143,
609,146,194,146,
601,109,148,128,
749,196,213,200,
706,149,232,165,
623,112,161,109,
630,106,188,100,
666,133,184,116,
586,161,239,133,
712,174,166,142,
760,187,265,199,
733,181,240,195,
797,174,260,226,
761,168,236,164,
834,268,279,232,
734,234,261,226,
701,170,202,203,
615,140,226,166,
600,149,216,176,
673,164,249,166,
622,179,208,193,
548,160,164,164,
674,239,258,287,
903,158,256,220,
759,138,215,138,
748,138,286,266,
827,178,266,201,
762,134,166,127,
640,130,191,123,
785,165,225,187,
764,112,172,113,
730,130,189,129,
731,212,246,178,
699,221,278,181,
823,156,195,189,
649,195,226,180,
713,180,244,168,
711,175,202,177,
682,187,215,227,
774,211,257,190,
763,169,218,184,
655,97,180,160,
719,143,200,230,
788,158,266,179,
825,249,261,219,
690,140,183,169,
623,186,227,198,
724,183,229,190,
747,159,199,188,
698,247,154,208,
786,114,189,181,
804,216,203,174,
780,164,203,133,
820,211,177,131,
797,116,164,107,
867,255,188,148,
850,213,206,177,
851,199,250,207,
826,196,238,187,
809,200,224,204,
794,170,227,157,
581,141,189,130,
727,179,229,152,
750,199,382,204,
885,230,266,250,
736,158,128,128,
663,176,280,192,
882,284,175,190,
