good,medium,bad
400,214,136
479,61,7
736,46,1
591,45,0
559,32,0
689,115,2
647,48,0
500,63,0
609,216,48
686,168,56
806,136,5
490,112,13
583,237,21
571,247,19
502,392,98
557,233,129
615,122,42
696,94,26
659,194,47
691,206,5
764,193,4
750,73,60
667,186,238
720,113,1
814,108,4
654,151,4
710,301,24
527,370,170
749,233,45
679,289,133
787,242,22
775,187,56
682,413,87
680,236,179
721,259,6
488,559,311
556,573,123
631,367,7
584,419,21
640,423,36
765,245,109
612,453,129
621,640,150
672,449,228
602,462,393
725,473,131
758,573,282
534,606,315
599,497,180
809,289,49
803,247,91
787,420,45
779,328,95
787,215,34
742,385,331
272,709,556
664,467,119
643,511,284
779,461,232
632,489,68
567,386,131
559,459,344
578,511,72
501,572,105
753,439,175
930,277,172
652,641,70
713,376,161
775,463,67
736,425,104
795,336,180
564,628,240
718,478,138
834,226,32
785,218,289
387,560,444
594,725,235
885,253,44
731,316,187
712,454,160
742,386,165
685,417,205
840,357,73
642,514,241
564,558,158
438,617,284
523,517,144
480,666,312
635,563,248
630,484,393
517,634,296
755,522,160
715,455,178
769,239,33
772,356,159
903,365,267
345,546,740
580,395,175
707,243,361
541,493,497
