date_time,request_count
20210401-00,2129176.0
20210401-01,2099352.0
20210401-02,2131028.0
20210401-03,2128187.0
20210401-04,2054637.0
20210401-05,1960771.0
20210401-06,1896786.0
20210401-07,1912639.0
20210401-08,1911927.0
20210401-09,1923951.0
20210401-10,1962620.0
20210401-11,1991078.0
20210401-12,2045678.0
20210401-13,2169340.0
20210401-14,2300808.0
20210401-15,2420949.0
20210401-16,2450099.0
20210401-17,2449695.0
20210401-18,2459757.0
20210401-19,2469298.0
20210401-20,2473027.0
20210401-21,2448452.0
20210401-22,2358288.0
20210401-23,2220465.0
20210402-00,2103644.0
20210402-01,2068278.0
20210402-02,2083734.0
20210402-03,2092064.0
20210402-04,2033441.0
20210402-05,1952372.0
20210402-06,1943597.0
20210402-07,1926466.0
20210402-08,1898769.0
20210402-09,1931228.0
20210402-10,1919389.0
20210402-11,1958284.0
20210402-12,2017299.0
20210402-13,2147508.0
20210402-14,2294889.0
20210402-15,2382564.0
20210402-16,2420959.0
20210402-17,2397979.0
20210402-18,2447698.0
20210402-19,2443755.0
20210402-20,2445138.0
20210402-21,2440419.0
20210402-22,2337456.0
20210402-23,2208042.0
20210403-00,2089437.0
20210403-01,2015038.0
20210403-02,2048972.0
20210403-03,2050334.0
20210403-04,2012526.0
20210403-05,1940096.0
20210403-06,1869012.0
20210403-07,1859491.0
20210403-08,1823424.0
20210403-09,1828981.0
20210403-10,1850839.0
20210403-11,1883414.0
20210403-12,1957659.0
20210403-13,2060912.0
20210403-14,2174821.0
20210403-15,2296507.0
20210403-16,2341531.0
20210403-17,2352311.0
20210403-18,2361584.0
20210403-19,2352596.0
20210403-20,2377301.0
20210403-21,2360646.0
20210403-22,2316251.0
20210403-23,2233376.0
20210404-00,2128163.0
20210404-01,2073547.0
20210404-02,2065371.0
20210404-03,2050102.0
20210404-04,2008642.0
20210404-05,1948630.0
20210404-06,1893850.0
20210404-07,1867145.0
20210404-08,1862136.0
20210404-09,1862623.0
20210404-10,1892328.0
20210404-11,1919911.0
20210404-12,1980565.0
20210404-13,2100161.0
20210404-14,2234451.0
20210404-15,2328006.0
20210404-16,2385665.0
20210404-17,2402736.0
20210404-18,2424372.0
20210404-19,2431866.0
20210404-20,2434752.0
20210404-21,2428004.0
20210404-22,2390482.0
20210404-23,2282128.0
20210405-00,2182838.0
20210405-01,2150486.0
20210405-02,2185403.0
20210405-03,2182250.0
20210405-04,2125221.0
20210405-05,2035500.0
20210405-06,1957623.0
20210405-07,1953663.0
20210405-08,1949851.0
20210405-09,1963146.0
20210405-10,2012986.0
20210405-11,2072996.0
20210405-12,2164696.0
20210405-13,2302151.0
20210405-14,2435693.0
20210405-15,2543196.0
20210405-16,2584168.0
20210405-17,2586669.0
20210405-18,2638723.0
20210405-19,2622346.0
20210405-20,2607340.0
20210405-21,2570053.0
20210405-22,2423757.0
20210405-23,2277817.0
20210406-00,2156273.0
20210406-01,2121167.0
20210406-02,2143607.0
20210406-03,2160914.0
20210406-04,2105181.0
20210406-05,2008217.0
20210406-06,1945791.0
20210406-07,1939664.0
20210406-08,1950162.0
20210406-09,1953667.0
20210406-10,2001788.0
20210406-11,2042560.0
20210406-12,2143363.0
20210406-13,2340297.0
20210406-14,2459857.0
20210406-15,2559148.0
20210406-16,2577141.0
20210406-17,2585095.0
20210406-18,2561784.0
20210406-19,2555393.0
20210406-20,2524174.0
20210406-21,2496381.0
20210406-22,2397559.0
20210406-23,2258268.0
20210407-00,2138780.0
20210407-01,2104861.0
20210407-02,2142872.0
20210407-03,2156916.0
20210407-04,2081254.0
20210407-05,2006143.0
20210407-06,1945243.0
20210407-07,1956646.0
20210407-08,1970151.0
20210407-09,1983384.0
20210407-10,2004650.0
20210407-11,2045358.0
20210407-12,2153961.0
20210407-13,2305364.0
20210407-14,2456127.0
20210407-15,2535771.0
20210407-16,2561131.0
20210407-17,2591007.0
20210407-18,2590772.0
20210407-19,2603457.0
20210407-20,2556363.0
20210407-21,2495167.0
20210407-22,2395069.0
20210408-00,2121994.0
20210407-23,2247380.0
20210408-01,2106093.0
20210408-02,2145060.0
20210408-03,2156337.0
20210408-04,2102610.0
20210408-05,1996424.0
20210408-06,1954569.0
20210408-07,1974019.0
20210408-08,1966750.0
20210408-09,1966961.0
20210408-10,2016366.0
20210408-11,2050646.0
20210408-12,2136814.0
20210408-13,2296683.0
20210408-14,2438730.0
20210408-15,2529525.0
20210408-16,2535218.0
20210408-17,2529154.0
20210408-18,2526356.0
20210408-19,2525562.0
20210408-20,2509802.0
20210408-21,2469521.0
20210408-22,2380589.0
20210408-23,2229227.0
20210409-00,2121161.0
20210409-01,2090683.0
20210409-02,2125237.0
20210409-03,2120969.0
20210409-04,2068866.0
20210409-05,1975260.0
20210409-06,1914942.0
20210409-07,1932110.0
20210409-08,1926613.0
20210409-09,1939294.0
20210409-10,1950349.0
20210409-11,2003685.0
20210409-12,2038605.0
20210409-13,2190502.0
20210409-14,2352180.0
20210409-15,2443170.0
20210409-16,2478935.0
20210409-17,2448678.0
20210409-18,2445849.0
20210409-19,2460402.0
20210409-20,2448125.0
20210409-21,2415818.0
20210409-22,2327696.0
20210409-23,2191016.0
20210410-00,2077988.0
20210410-01,2021889.0
20210410-02,2037403.0
20210410-03,2045222.0
20210410-04,2015543.0
20210410-05,1931068.0
20210410-06,1876809.0
20210410-07,1848145.0
20210410-08,1828802.0
20210410-09,1838079.0
20210410-10,1870027.0
20210410-11,1911893.0
20210410-12,1994038.0
20210410-13,2115349.0
20210410-14,2231059.0
20210410-15,2332280.0
20210410-16,2361560.0
20210410-17,2363151.0
20210410-18,2389510.0
20210410-19,2388483.0
20210410-20,2384643.0
20210410-21,2384995.0
20210410-22,2351391.0
20210410-23,2236383.0
20210411-00,2131831.0
20210411-01,2067280.0
20210411-02,2076733.0
20210411-03,2076904.0
20210411-04,2036613.0
20210411-05,1975808.0
20210411-06,1922981.0
20210411-07,1907510.0
20210411-08,1898220.0
20210411-09,1918472.0
20210411-10,1946849.0
20210411-11,1984201.0
20210411-12,2069131.0
20210411-13,2197572.0
20210411-14,2336267.0
20210411-15,2426723.0
20210411-16,2485880.0
20210411-17,2495977.0
20210411-18,2510240.0
20210411-19,2524590.0
20210411-20,2523267.0
20210411-21,2499600.0
20210411-22,2444297.0
20210411-23,2286000.0
20210412-00,2202185.0
20210412-01,2180708.0
20210412-02,2224404.0
20210412-03,2221616.0
20210412-04,2140413.0
20210412-05,2049645.0
20210412-06,2009268.0
20210412-07,2020871.0
20210412-08,2018791.0
20210412-09,2010466.0
20210412-10,1999973.0
20210412-11,2028180.0
20210412-12,2120828.0
20210412-13,2267606.0
20210412-14,2415286.0
20210412-15,2506479.0
20210412-16,2556249.0
20210412-17,2563801.0
20210412-18,2550986.0
20210412-19,2539904.0
20210412-20,2541929.0
20210412-21,2504428.0
20210412-22,2403788.0
20210412-23,2275315.0
20210413-00,2155010.0
20210413-01,2133989.0
20210413-02,2188873.0
20210413-03,2139233.0
20210413-04,2082103.0
20210413-05,1988456.0
20210413-06,1923338.0
20210413-07,1934293.0
20210413-08,1935293.0
20210413-09,1950403.0
20210413-10,1979245.0
20210413-11,2015931.0
20210413-12,2106012.0
20210413-13,2262811.0
20210413-14,2408748.0
20210413-15,2488823.0
20210413-16,2524315.0
20210413-17,2512488.0
20210413-18,2516130.0
20210413-19,2520562.0
20210413-20,2505564.0
20210413-21,2465079.0
20210413-22,2374022.0
20210413-23,2218563.0
20210414-00,2111206.0
20210414-01,2114680.0
20210414-02,2131015.0
20210414-03,2123676.0
20210414-04,2060462.0
20210414-05,1967585.0
20210414-06,1911924.0
20210414-07,1926214.0
20210414-08,1931937.0
20210414-09,1936983.0
20210414-10,1958092.0
20210414-11,2006828.0
20210414-12,2109722.0
20210414-13,2252219.0
20210414-14,2394065.0
20210414-15,2470862.0
20210414-16,2499386.0
20210414-17,2479841.0
20210414-18,2482185.0
20210414-19,2497490.0
20210414-20,2479252.0
20210414-21,2453897.0
20210414-22,2349542.0
20210414-23,2207044.0
20210415-00,2120132.0
20210415-01,2095085.0
20210415-02,2125974.0
20210415-03,2118895.0
20210415-04,2055001.0
20210415-05,1966386.0
20210415-06,1912885.0
20210415-07,1924305.0
20210415-08,1920759.0
20210415-09,1925307.0
20210415-10,1958658.0
20210415-11,1992515.0
20210415-12,2093450.0
20210415-13,2243361.0
20210415-14,2394623.0
20210415-15,2480333.0
20210415-16,2502058.0
20210415-17,2486637.0
20210415-18,2490361.0
20210415-19,2499864.0
20210415-20,2477301.0
20210415-21,2449570.0
20210415-22,2355459.0
20210415-23,2227954.0
20210416-00,2127999.0
20210416-01,2102302.0
20210416-02,2134569.0
20210416-03,2134840.0
20210416-04,2062687.0
20210416-05,1939443.0
20210416-06,1909084.0
20210416-07,1918657.0
20210416-08,1910095.0
20210416-09,1933374.0
20210416-10,1936481.0
20210416-11,1960286.0
20210416-12,2061125.0
20210416-13,2223619.0
20210416-14,2365260.0
20210416-15,2425114.0
20210416-16,2436954.0
20210416-17,2450734.0
20210416-18,2480520.0
20210416-19,2479797.0
20210416-20,2428977.0
20210416-21,2393390.0
20210416-22,2313809.0
20210416-23,2184030.0
20210417-00,2070601.0
20210417-01,2004959.0
20210417-02,2014437.0
20210417-03,2014360.0
20210417-04,1978580.0
20210417-05,1912670.0
20210417-06,1864986.0
20210417-07,1846806.0
20210417-08,1826228.0
20210417-09,1817164.0
20210417-10,1841209.0
20210417-11,1883800.0
20210417-12,1960979.0
20210417-13,2049610.0
20210417-14,2126252.0
20210417-15,2242073.0
20210417-16,2309008.0
20210417-17,2326052.0
20210417-18,2339251.0
20210417-19,2341516.0
20210417-20,2355163.0
20210417-21,2378102.0
20210417-22,2322540.0
20210417-23,2233011.0
20210418-00,2128426.0
20210418-01,2072338.0
20210418-02,2067375.0
20210418-03,2064303.0
20210418-04,2021010.0
20210418-05,1948286.0
20210418-06,1890593.0
20210418-07,1877342.0
20210418-08,1883387.0
20210418-09,1906240.0
20210418-10,1926932.0
20210418-11,1951378.0
20210418-12,2042355.0
20210418-13,2161576.0
20210418-14,2252669.0
20210418-15,2336926.0
20210418-16,2415784.0
20210418-17,2450691.0
20210418-18,2437408.0
20210418-19,2443950.0
20210418-20,2451909.0
20210418-21,2442648.0
20210418-22,2382903.0
20210418-23,2248360.0
20210419-00,2151917.0
20210419-01,2136112.0
