eps,scale
0,1
1,1
2,1
3,2
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,2
12,1
13,1
14,1
15,1
16,1
17,2
18,1
19,1
20,2
21,1
22,1
23,1
24,2
25,2
26,1
27,1
28,1
29,1
30,2
31,1
32,2
33,2
34,2
35,2
36,2
37,1
38,2
39,1
40,2
41,1
42,1
43,1
44,2
45,1
46,1
47,1
48,1
49,1
50,1
51,2
52,1
53,1
54,1
55,1
56,1
57,1
58,2
59,2
60,2
61,2
62,1
63,1
64,2
65,1
66,1
67,2
68,1
69,2
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,2
82,2
83,2
84,2
85,1
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,1
99,1
