ds,y
8/31/1995 8:00,750
8/31/1995 8:05,547
8/31/1995 8:10,783
8/31/1995 8:15,636
8/31/1995 8:20,591
8/31/1995 8:25,806
8/31/1995 8:30,695
8/31/1995 8:35,563
8/31/1995 8:40,873
8/31/1995 8:45,910
8/31/1995 8:50,947
8/31/1995 8:55,615
8/31/1995 9:00,841
8/31/1995 9:05,837
8/31/1995 9:10,992
8/31/1995 9:15,919
8/31/1995 9:20,779
8/31/1995 9:25,816
8/31/1995 9:30,900
8/31/1995 9:35,902
8/31/1995 9:40,961
8/31/1995 9:45,883
8/31/1995 9:50,1091
8/31/1995 9:55,834
8/31/1995 10:00,926
8/31/1995 10:05,809
8/31/1995 10:10,1035
8/31/1995 10:15,1067
8/31/1995 10:20,1027
8/31/1995 10:25,1101
8/31/1995 10:30,1051
8/31/1995 10:35,1018
8/31/1995 10:40,1182
8/31/1995 10:45,1095
8/31/1995 10:50,986
8/31/1995 10:55,1358
8/31/1995 11:00,1252
8/31/1995 11:05,1005
8/31/1995 11:10,1024
8/31/1995 11:15,1099
8/31/1995 11:20,1119
8/31/1995 11:25,1194
8/31/1995 11:30,1411
8/31/1995 11:35,1349
8/31/1995 11:40,1457
8/31/1995 11:45,1329
8/31/1995 11:50,1613
8/31/1995 11:55,1455
8/31/1995 12:00,1276
8/31/1995 12:05,1147
8/31/1995 12:10,1141
8/31/1995 12:15,1252
8/31/1995 12:20,1202
8/31/1995 12:25,1036
8/31/1995 12:30,1458
8/31/1995 12:35,1537
8/31/1995 12:40,1250
8/31/1995 12:45,1438
8/31/1995 12:50,1472
8/31/1995 12:55,1189
8/31/1995 13:00,1084
8/31/1995 13:05,1362
8/31/1995 13:10,1161
8/31/1995 13:15,1178
8/31/1995 13:20,1367
8/31/1995 13:25,1379
8/31/1995 13:30,1363
8/31/1995 13:35,1250
8/31/1995 13:40,1305
8/31/1995 13:45,1265
8/31/1995 13:50,1311
8/31/1995 13:55,1432
8/31/1995 14:00,1334
8/31/1995 14:05,1092
8/31/1995 14:10,1292
8/31/1995 14:15,1391
8/31/1995 14:20,1554
8/31/1995 14:25,1182
8/31/1995 14:30,1234
8/31/1995 14:35,1326
8/31/1995 14:40,1293
8/31/1995 14:45,1307
8/31/1995 14:50,1270
8/31/1995 14:55,1397
8/31/1995 15:00,1280
8/31/1995 15:05,1339
8/31/1995 15:10,1184
8/31/1995 15:15,1458
8/31/1995 15:20,1446
8/31/1995 15:25,1507
8/31/1995 15:30,1447
8/31/1995 15:35,1437
8/31/1995 15:40,1348
8/31/1995 15:45,1041
8/31/1995 15:50,1287
8/31/1995 15:55,1535
8/31/1995 16:00,1631
8/31/1995 16:05,1150
8/31/1995 16:10,1311
8/31/1995 16:15,1531
