ds,y
7/4/1995 8:00,200
7/4/1995 8:05,227
7/4/1995 8:10,248
7/4/1995 8:15,313
7/4/1995 8:20,293
7/4/1995 8:25,270
7/4/1995 8:30,203
7/4/1995 8:35,233
7/4/1995 8:40,195
7/4/1995 8:45,253
7/4/1995 8:50,266
7/4/1995 8:55,305
7/4/1995 9:00,277
7/4/1995 9:05,238
7/4/1995 9:10,160
7/4/1995 9:15,226
7/4/1995 9:20,266
7/4/1995 9:25,350
7/4/1995 9:30,276
7/4/1995 9:35,204
7/4/1995 9:40,307
7/4/1995 9:45,271
7/4/1995 9:50,265
7/4/1995 9:55,219
7/4/1995 10:00,308
7/4/1995 10:05,338
7/4/1995 10:10,286
7/4/1995 10:15,193
7/4/1995 10:20,222
7/4/1995 10:25,262
7/4/1995 10:30,357
7/4/1995 10:35,299
7/4/1995 10:40,301
7/4/1995 10:45,316
7/4/1995 10:50,363
7/4/1995 10:55,338
7/4/1995 11:00,367
7/4/1995 11:05,284
7/4/1995 11:10,306
7/4/1995 11:15,239
7/4/1995 11:20,350
7/4/1995 11:25,277
7/4/1995 11:30,297
7/4/1995 11:35,295
7/4/1995 11:40,347
7/4/1995 11:45,248
7/4/1995 11:50,280
7/4/1995 11:55,294
7/4/1995 12:00,291
7/4/1995 12:05,281
7/4/1995 12:10,296
7/4/1995 12:15,326
7/4/1995 12:20,242
7/4/1995 12:25,217
7/4/1995 12:30,271
7/4/1995 12:35,281
7/4/1995 12:40,299
7/4/1995 12:45,200
7/4/1995 12:50,319
7/4/1995 12:55,379
7/4/1995 13:00,360
7/4/1995 13:05,333
7/4/1995 13:10,270
7/4/1995 13:15,274
7/4/1995 13:20,340
7/4/1995 13:25,258
7/4/1995 13:30,250
7/4/1995 13:35,306
7/4/1995 13:40,284
7/4/1995 13:45,324
7/4/1995 13:50,265
7/4/1995 13:55,286
7/4/1995 14:00,239
7/4/1995 14:05,234
7/4/1995 14:10,278
7/4/1995 14:15,211
7/4/1995 14:20,263
7/4/1995 14:25,270
7/4/1995 14:30,275
7/4/1995 14:35,235
7/4/1995 14:40,235
7/4/1995 14:45,339
7/4/1995 14:50,343
7/4/1995 14:55,356
7/4/1995 15:00,304
7/4/1995 15:05,252
7/4/1995 15:10,363
7/4/1995 15:15,375
7/4/1995 15:20,319
7/4/1995 15:25,304
7/4/1995 15:30,364
7/4/1995 15:35,360
7/4/1995 15:40,343
7/4/1995 15:45,403
7/4/1995 15:50,383
7/4/1995 15:55,404
7/4/1995 16:00,373
7/4/1995 16:05,365
7/4/1995 16:10,280
7/4/1995 16:15,272
