datetime,request_count
7/1/1995 8:00,200
7/1/1995 8:05,92
7/1/1995 8:10,136
7/1/1995 8:15,164
7/1/1995 8:20,233
7/1/1995 8:25,205
7/1/1995 8:30,140
7/1/1995 8:35,153
7/1/1995 8:40,164
7/1/1995 8:45,171
7/1/1995 8:50,148
7/1/1995 8:55,121
7/1/1995 9:00,92
7/1/1995 9:05,152
7/1/1995 9:10,110
7/1/1995 9:15,144
7/1/1995 9:20,190
7/1/1995 9:25,222
7/1/1995 9:30,204
7/1/1995 9:35,199
7/1/1995 9:40,167
7/1/1995 9:45,209
7/1/1995 9:50,192
7/1/1995 9:55,215
7/1/1995 10:00,189
7/1/1995 10:05,290
7/1/1995 10:10,243
7/1/1995 10:15,211
7/1/1995 10:20,216
7/1/1995 10:25,229
7/1/1995 10:30,264
7/1/1995 10:35,289
7/1/1995 10:40,233
7/1/1995 10:45,279
7/1/1995 10:50,340
7/1/1995 10:55,263
7/1/1995 11:00,337
7/1/1995 11:05,320
7/1/1995 11:10,326
7/1/1995 11:15,334
7/1/1995 11:20,354
7/1/1995 11:25,250
7/1/1995 11:30,249
7/1/1995 11:35,244
7/1/1995 11:40,225
7/1/1995 11:45,274
7/1/1995 11:50,235
7/1/1995 11:55,280
7/1/1995 12:00,260
7/1/1995 12:05,260
7/1/1995 12:10,273
7/1/1995 12:15,257
7/1/1995 12:20,312
7/1/1995 12:25,405
7/1/1995 12:30,198
7/1/1995 12:35,10
7/1/1995 12:40,1
7/1/1995 12:45,210
7/1/1995 12:50,302
7/1/1995 12:55,281
7/1/1995 13:00,290
7/1/1995 13:05,275
7/1/1995 13:10,221
7/1/1995 13:15,282
7/1/1995 13:20,289
7/1/1995 13:25,258
7/1/1995 13:30,190
7/1/1995 13:35,199
7/1/1995 13:40,177
7/1/1995 13:45,305
7/1/1995 13:50,321
7/1/1995 13:55,279
7/1/1995 14:00,249
7/1/1995 14:05,261
7/1/1995 14:10,234
7/1/1995 14:15,294
7/1/1995 14:20,210
7/1/1995 14:25,201
7/1/1995 14:30,194
7/1/1995 14:35,273
7/1/1995 14:40,312
7/1/1995 14:45,267
7/1/1995 14:50,287
7/1/1995 14:55,351
7/1/1995 15:00,268
7/1/1995 15:05,223
7/1/1995 15:10,213
7/1/1995 15:15,256
7/1/1995 15:20,288
7/1/1995 15:25,251
7/1/1995 15:30,268
7/1/1995 15:35,258
7/1/1995 15:40,287
7/1/1995 15:45,309
7/1/1995 15:50,365
7/1/1995 15:55,286
7/1/1995 16:00,214
7/1/1995 16:05,269
7/1/1995 16:10,200
7/1/1995 16:15,288
7/2/1995 8:00,98
7/2/1995 8:05,92
7/2/1995 8:10,77
7/2/1995 8:15,156
7/2/1995 8:20,148
7/2/1995 8:25,104
