p,d,q,rmse
0,0,0,442.1560970512726,0.3627874942196583
0,0,1,308.48732907570775,0.2615925776283301
0,0,2,273.66857277446667,0.22917811029882468
0,1,0,205.62198326054536,0.18756323947767947
0,1,1,192.24192449469325,0.17754110874607026
0,1,2,188.94560925285802,0.17104188787748428
0,2,0,326.42181299661945,0.2774607088625986
0,2,1,205.79875387781323,0.18781865021991564
0,2,2,192.16337051467085,0.17805305094920343
1,0,0,204.69570836478402,0.18291118681461374
1,0,1,193.80276125928566,0.1757323670856756
1,0,2,190.42942424706294,0.17159733263572555
1,1,0,199.42571033853628,0.18681729092202357
1,1,1,188.41984576651492,0.17161056888894727
1,1,2,188.86547729965153,0.1717720718001432
1,2,0,279.0354696950622,0.255605604469247
1,2,1,199.53975453871658,0.18705954284106008
1,2,2,188.16023791542526,0.17215953670668985
2,0,0,199.78103789410767,0.18114946055182798
2,0,1,190.08781499622933,0.1714158156980346
2,0,2,190.51517421467346,0.17154617397402164
2,1,0,193.08004408142332,0.18156454472389136
2,1,1,189.54363336240675,0.1728068074703119
2,1,2,191.45465863064243,0.1732973365727265
2,2,0,246.0371884534604,0.22967850423515174
2,2,1,193.19287707943,0.18198266620523804
2,2,2,201.3073391391307,0.18896924259115352
3,0,0,195.16359402380715,0.17856928205328754
3,0,1,190.9139756090985,0.171656605788257
3,0,2,192.31357470183983,0.17361944610431848
3,1,0,196.72777138144684,0.1785029508848063
3,1,1,193.76478114934955,0.17350447273387268
3,1,2,194.93202582399473,0.1736617286742932
3,2,0,237.25280007919497,0.22334814371799513
3,2,1,196.73637602781503,0.17881635051608044
3,2,2,70611.19765757173,8.56747473610237
