scale,n_point,rmse,mape,mae
0.01,5,320.68217460745075,0.2702398584821904,258.8967505620065
0.01,10,316.5375554032711,0.2680947764277929,255.33545999040086
0.01,20,326.2718012899704,0.2730201325727996,263.6316388706691
0.01,50,309.6499173548049,0.26496897819122245,249.47009092348173
0.05,5,581.006902109498,0.46967936108355346,497.4605494984547
0.05,10,579.9675229706967,0.468721559065847,496.46099495487414
0.05,20,580.444423555518,0.4687499284320231,496.6228509073925
0.05,50,583.4791558406021,0.4715352310368733,499.51993514359214
0.1,5,566.1465918794701,0.4573573148897814,484.21872820479524
0.1,10,570.524158027151,0.46138337220950004,488.42509048822717
0.1,20,587.4845576337927,0.4769059234944877,504.64934264082433
0.1,50,581.20108767902,0.4711156543218127,498.6057029480318
