server,bus1,bus2,bus3
444,43,138,125,
285,113,37,112,
587,105,71,20,
445,60,109,22,
344,73,130,44,
550,80,127,49,
398,81,145,71,
395,42,83,43,
603,74,111,85,
704,50,99,57,
633,82,122,110,
418,47,75,75,
670,35,93,43,
681,40,75,41,
795,59,93,45,
759,73,52,35,
477,94,91,117,
500,77,122,117,
671,45,89,95,
671,62,77,92,
657,81,112,111,
515,107,129,132,
456,144,259,232,
437,194,101,102,
678,108,64,76,
597,90,61,61,
766,81,95,93,
762,98,86,121,
661,113,142,111,
781,90,124,106,
702,110,148,91,
688,83,136,111,
848,78,142,114,
689,119,155,132,
669,96,128,93,
984,94,183,97,
959,80,141,72,
753,69,122,61,
795,47,113,69,
846,53,118,82,
599,124,223,173,
853,81,144,116,
1001,121,159,130,
880,125,205,139,
1024,96,260,77,
882,118,181,148,
1054,169,208,182,
965,141,189,160,
843,129,174,130,
752,101,166,128,
701,117,175,148,
806,121,179,146,
714,156,144,188,
691,126,108,111,
1014,128,138,178,
938,131,196,272,
887,99,148,116,
958,134,200,146,
913,159,228,172,
883,83,118,105,
760,90,139,95,
913,124,201,124,
923,51,127,60,
903,72,121,82,
915,131,193,128,
869,166,212,132,
1025,90,153,95,
794,138,179,139,
863,146,188,108,
839,141,154,131,
834,138,165,174,
956,157,174,145,
892,136,188,118,
723,81,180,108,
817,126,192,157,
911,134,191,155,
1014,150,210,180,
777,102,180,123,
768,144,153,169,
915,110,151,150,
879,103,188,123,
880,132,186,109,
841,134,169,126,
957,121,187,132,
1005,67,125,83,
1039,66,169,65,
980,72,82,50,
1094,162,110,92,
1004,180,133,129,
1034,131,166,176,
969,175,164,139,
1029,124,170,114,
1021,96,143,88,
644,109,180,108,
836,147,182,122,
934,246,195,160,
1156,123,167,185,
772,111,154,113,
818,148,157,188,
