good,medium,bad
604,120,26
502,45,0
764,19,0
612,24,0
578,13,0
746,60,0
681,13,1
517,46,0
747,124,2
802,100,8
890,57,0
547,68,0
692,114,35
689,146,2
704,232,56
660,187,72
674,78,27
726,87,3
781,111,8
821,80,1
860,101,0
779,84,20
560,140,391
634,59,141
869,55,2
732,77,0
928,107,0
795,160,112
945,82,0
836,247,18
957,93,1
893,113,12
933,224,25
975,116,4
867,118,1
832,426,100
843,375,34
808,196,1
806,216,2
854,241,4
891,125,103
814,304,76
1043,319,49
1017,319,13
776,305,376
1088,224,17
1172,305,136
1016,391,48
954,303,19
988,152,7
957,163,21
1120,129,3
1002,180,20
920,116,0
930,90,438
697,443,397
992,248,10
969,411,58
1163,298,11
956,220,13
701,328,55
712,477,173
920,231,10
830,322,26
1167,200,0
1097,167,115
1088,264,11
971,229,50
1071,223,11
1003,249,13
961,246,104
1056,339,37
1038,269,27
978,113,1
859,350,83
833,462,96
1184,316,54
1076,99,7
939,250,45
1075,200,51
927,280,86
959,273,75
1087,169,14
875,449,73
877,347,56
797,398,144
789,315,80
728,564,166
1007,324,115
1074,379,54
901,500,46
1200,225,12
997,321,30
917,114,10
1001,252,34
1022,269,244
860,571,200
990,121,39
830,179,302
