server,bus1,bus2,bus3
257,186,23,25,
286,210,72,149,
293,201,49,50,
318,241,90,61,
418,139,19,186,
374,246,112,105,
350,234,98,131,
512,147,26,81,
553,145,16,116,
509,141,16,59,
311,208,103,87,
440,115,33,101,
580,141,23,57,
631,148,44,55,
535,134,44,51,
404,244,124,82,
627,141,51,191,
624,200,80,219,
748,199,112,170,
791,231,137,204,
621,169,59,183,
608,181,42,173,
652,191,77,185,
503,147,40,211,
574,161,33,109,
706,181,72,120,
664,170,46,101,
610,148,40,95,
1028,120,127,117,
839,262,190,222,
731,226,96,233,
941,36,100,51,
784,231,153,166,
703,209,84,184,
1071,47,109,46,
989,42,79,46,
767,215,109,133,
695,178,99,96,
788,211,120,130,
1031,102,127,95,
1001,55,66,65,
1119,56,143,68,
1089,57,109,54,
989,86,88,77,
1076,59,114,71,
1021,52,111,45,
993,88,100,97,
945,31,101,40,
867,45,85,41,
1051,59,124,65,
1197,102,187,124,
1076,47,131,48,
689,225,35,206,
929,83,106,73,
1037,56,114,79,
1050,68,98,65,
1067,55,129,70,
1148,77,140,79,
1195,134,158,126,
882,235,98,150,
936,101,80,53,
1111,68,120,60,
1072,33,88,32,
1255,163,172,125,
1013,48,95,57,
1067,71,154,82,
1193,66,164,84,
1079,69,132,70,
1014,46,105,57,
902,35,88,46,
1027,118,123,100,
1186,103,137,83,
1085,322,148,181,
886,193,12,15,
1002,65,100,43,
1259,147,176,144,
1252,139,179,166,
1225,189,240,187,
1156,137,160,140,
902,39,77,38,
1004,30,106,47,
914,44,92,42,
1305,138,116,88,
1006,104,98,59,
1114,117,164,79,
1239,124,145,103,
1216,91,147,83,
1117,68,120,55,
1232,92,114,88,
1495,310,100,95,
1145,221,130,108,
1169,135,164,94,
983,248,116,149,
1396,308,0,0,
998,160,114,77,
988,57,88,79,
1042,71,114,69,
1256,115,227,146,
994,40,106,47,
985,74,96,87,
