good,medium,bad
398,92,1
469,110,138
444,132,17
447,211,52
574,166,22
681,156,0
551,221,41
452,263,51
717,113,0
611,114,0
563,146,0
381,201,107
642,153,6
666,209,3
550,204,10
565,212,77
484,382,144
672,247,204
766,373,90
775,497,91
760,233,39
868,122,14
798,298,9
729,132,40
739,137,1
774,304,1
748,212,21
676,191,26
619,308,465
1076,404,33
697,372,217
765,208,155
1004,316,14
822,299,59
733,396,144
822,261,73
909,309,6
629,400,39
743,451,55
390,464,501
1007,169,11
1010,369,7
939,339,31
774,300,166
1009,299,12
980,183,66
985,235,58
924,170,23
814,204,20
923,235,141
1159,328,123
1065,180,57
845,239,71
806,280,105
1161,121,4
909,280,92
969,324,28
1106,289,49
900,488,225
788,424,153
658,367,145
914,396,49
953,269,3
666,793,256
1057,150,6
1136,227,11
1067,399,41
975,307,68
931,255,36
827,235,9
1009,318,41
998,362,149
967,421,348
644,385,77
947,189,74
897,585,244
1378,272,86
920,794,127
898,324,371
853,193,10
1011,176,0
842,245,5
996,323,328
876,245,146
884,493,97
743,613,255
866,485,186
853,410,97
1017,388,121
625,773,602
924,456,224
1077,415,70
861,451,184
658,636,410
1036,204,109
1079,126,7
918,175,203
1111,608,25
983,204,0
997,221,24
