server,bus1,bus2,bus3
270,148,72,1,
390,183,129,15,
338,161,86,8,
453,155,94,8,
414,188,148,12,
542,172,109,14,
456,192,151,14,
559,108,92,7,
553,154,116,7,
531,109,80,5,
445,149,101,14,
474,138,66,11,
665,67,68,1,
716,70,87,5,
643,52,65,4,
742,37,60,15,
726,135,125,24,
709,205,167,42,
876,174,140,39,
979,182,153,49,
688,179,141,24,
691,149,148,16,
732,185,149,39,
524,199,154,24,
596,172,100,9,
779,175,100,25,
700,171,94,16,
640,158,83,12,
882,212,185,113,
1041,198,192,82,
799,230,206,51,
811,138,137,42,
972,142,159,61,
827,151,155,47,
891,192,152,38,
890,108,123,35,
934,117,131,42,
824,104,113,27,
985,105,124,35,
982,139,156,78,
795,173,184,35,
993,174,153,66,
968,150,137,54,
783,192,183,82,
953,144,161,62,
829,179,163,58,
786,223,202,67,
725,204,150,38,
680,204,113,41,
887,198,149,65,
1087,213,199,111,
891,195,152,64,
702,218,182,53,
710,228,193,60,
891,172,161,62,
894,171,161,55,
918,180,159,64,
997,184,170,93,
1005,239,253,116,
984,171,150,60,
891,112,123,44,
1024,122,145,68,
946,111,130,38,
1183,176,208,148,
832,178,159,44,
903,219,177,75,
1073,177,183,74,
893,217,176,64,
868,140,152,62,
716,190,122,43,
833,237,198,100,
1004,209,170,126,
1112,221,251,152,
781,105,198,22,
844,185,128,53,
1110,270,232,114,
1147,210,238,141,
1193,203,297,148,
991,227,249,126,
710,179,128,39,
835,156,153,43,
780,139,134,39,
942,227,264,214,
820,96,297,54,
1119,124,150,81,
1158,163,190,100,
1143,146,170,78,
1072,93,125,70,
1085,152,181,108,
1250,239,299,212,
1052,250,213,89,
1107,169,191,95,
1079,131,178,108,
1128,193,264,119,
920,161,203,65,
745,218,206,43,
860,205,157,74,
1165,225,225,129,
822,185,139,41,
790,213,190,49,
