good,medium,bad
472,19,0
676,41,0
590,3,0
666,44,0
755,7,0
788,49,0
798,15,0
699,67,0
770,60,0
672,53,0
670,39,0
572,114,3
701,100,0
756,122,0
611,153,0
674,163,17
962,48,0
923,187,13
1023,205,1
1082,280,1
925,105,2
985,19,0
1044,61,0
830,71,0
826,51,0
978,101,0
865,116,0
778,115,0
797,357,238
1112,387,14
993,264,29
959,158,11
1027,307,0
1064,115,1
978,267,28
820,300,36
902,308,14
803,256,9
987,248,14
697,540,118
1075,105,7
948,429,9
953,334,22
814,293,133
1034,282,4
993,187,49
1035,210,33
963,131,23
831,190,17
953,277,69
1169,334,107
1103,160,39
900,203,52
968,182,41
1180,104,2
900,322,59
981,315,25
1160,232,52
932,464,217
827,458,80
842,312,16
882,429,48
892,330,3
692,828,195
1122,85,6
1114,243,17
1052,430,25
997,310,43
1008,186,28
880,180,11
998,326,44
978,329,202
966,420,350
896,151,59
950,198,62
887,649,190
1366,256,114
899,795,147
987,342,264
813,231,12
1021,166,0
848,235,9
973,349,325
673,326,268
848,580,46
761,715,135
835,593,109
812,477,71
1077,302,147
779,736,485
921,488,195
1128,349,85
917,410,169
1153,459,92
1057,230,62
1122,83,7
973,222,101
1092,631,21
1002,183,2
1052,168,22
