server,bus1,bus2,bus3
406,32,50,2,
454,11,20,1,
450,26,50,6,
547,34,69,4,
569,19,34,2,
485,36,61,2,
419,14,28,1,
725,40,75,4,
730,43,69,10,
611,37,79,5,
611,24,40,5,
606,34,59,9,
440,10,24,0,
605,21,62,6,
592,11,40,3,
547,17,37,11,
598,30,57,1,
648,43,74,17,
723,49,100,8,
652,36,68,6,
776,54,103,15,
673,30,72,3,
592,51,83,14,
787,42,75,6,
734,61,110,11,
627,45,80,8,
650,44,93,5,
632,41,86,7,
674,42,72,12,
529,27,56,6,
734,41,78,7,
778,57,114,17,
760,49,107,10,
678,64,104,16,
618,30,65,11,
783,54,93,28,
708,30,63,9,
713,33,71,9,
842,52,111,21,
855,47,84,18,
982,101,160,41,
844,63,111,26,
775,38,77,6,
760,47,78,19,
824,79,146,23,
832,93,132,25,
1027,80,130,31,
891,79,143,21,
806,69,124,19,
837,80,133,14,
581,50,87,22,
647,62,105,28,
917,71,130,16,
916,71,123,22,
1049,115,184,46,
974,61,108,23,
825,72,113,18,
615,43,81,17,
753,64,97,26,
894,67,123,32,
876,68,124,36,
898,52,116,18,
758,28,69,13,
567,21,46,8,
485,13,34,0,
521,27,59,3,
724,37,68,13,
745,44,79,8,
205,8,14,1,
853,72,112,23,
1051,109,160,46,
812,67,123,16,
983,107,156,26,
849,83,123,35,
983,105,158,34,
1028,118,177,51,
1004,93,143,56,
1084,126,197,53,
1117,112,168,65,
1102,131,177,56,
1013,94,163,28,
1122,139,216,75,
1044,77,130,31,
949,107,144,36,
957,64,110,27,
980,77,139,44,
1056,72,138,38,
990,71,127,42,
1028,95,154,47,
1040,105,157,38,
849,80,122,19,
819,86,145,32,
924,94,139,33,
400,29,55,10,
667,86,120,21,
953,78,125,32,
930,83,146,25,
881,76,147,10,
926,107,177,42,
1136,126,194,60,
