good,medium,bad
438,52,0
474,11,1
493,38,1
612,41,1
605,19,0
543,41,0
454,8,0
778,65,1
740,109,3
685,47,0
639,40,1
588,117,3
451,23,0
588,105,1
580,66,0
482,120,10
653,33,0
642,100,40
775,100,5
674,86,2
825,119,4
751,27,0
660,78,2
838,70,2
805,98,13
686,71,3
694,97,1
691,75,0
711,63,26
554,63,1
797,63,0
842,118,6
797,126,3
728,115,19
595,128,1
697,241,20
691,110,9
718,107,1
803,214,9
810,181,13
962,289,33
781,245,18
799,97,0
748,137,19
898,134,40
854,194,34
988,269,11
1001,127,6
868,140,10
920,138,6
576,79,85
646,139,57
1006,118,10
897,192,43
1078,275,41
944,219,3
863,152,13
632,116,8
748,178,14
803,169,144
769,317,18
883,200,1
722,135,11
545,94,3
529,3,0
592,18,0
725,115,2
785,89,2
222,6,0
842,209,9
988,345,33
814,175,29
1020,236,16
789,240,61
968,252,60
984,236,154
882,261,153
1070,364,26
973,284,205
989,318,159
1022,234,42
959,457,136
1039,118,125
942,285,9
793,357,8
739,430,71
860,408,36
742,337,151
891,309,124
977,333,30
885,174,11
836,161,85
873,293,24
413,78,3
722,130,42
946,230,12
973,194,17
993,121,0
951,213,88
999,311,206
