server,bus1,bus2,bus3
4,8,162,26,
4,3,55,30,
29,33,49,25,
78,28,51,7,
83,70,61,19,
95,49,49,12,
46,21,43,30,
61,17,57,18,
68,18,56,22,
103,5,42,21,
68,3,59,18,
66,6,32,17,
59,1,31,1,
109,6,31,6,
86,1,17,6,
117,5,16,6,
121,10,50,9,
143,12,46,21,
147,9,36,12,
141,6,43,9,
110,17,31,9,
114,13,61,21,
122,24,31,15,
114,23,51,27,
139,6,31,13,
211,15,43,21,
172,11,34,26,
157,5,36,13,
116,11,46,43,
162,13,38,16,
154,21,50,39,
197,9,62,21,
176,4,35,18,
142,28,63,46,
250,13,40,37,
233,7,12,11,
261,25,42,9,
266,8,35,11,
273,16,24,13,
268,18,26,22,
184,34,90,46,
179,10,33,28,
168,22,43,16,
135,18,52,39,
120,30,48,27,
176,23,56,19,
97,77,46,15,
165,33,60,22,
171,18,52,19,
168,29,39,24,
172,27,54,20,
138,33,53,33,
117,72,97,26,
223,58,73,51,
102,35,34,27,
6,3,1,0,
0,0,0,1,
113,27,41,29,
150,38,68,46,
231,8,26,16,
214,22,37,17,
194,18,49,14,
167,12,23,19,
232,13,27,10,
159,38,64,28,
143,40,43,32,
119,20,26,25,
119,12,46,22,
102,25,42,8,
198,32,41,34,
152,56,72,41,
160,14,65,40,
163,17,51,18,
169,18,41,33,
144,13,53,24,
176,22,73,23,
68,25,57,60,
87,33,55,26,
76,37,52,29,
168,28,50,27,
184,15,83,30,
191,15,49,12,
125,38,83,41,
258,12,56,25,
223,10,25,10,
189,3,20,11,
182,5,14,12,
225,7,18,6,
208,26,31,23,
157,30,45,19,
194,17,42,15,
189,13,34,22,
234,9,27,17,
206,27,43,33,
238,35,57,35,
86,85,77,38,
129,30,44,11,
180,23,43,23,
135,17,33,15,
142,48,74,24,
