good,medium,bad
115,63,22
77,15,0
115,21,0
159,5,0
221,12,0
202,3,0
140,0,0
133,20,0
150,14,0
163,8,0
145,3,0
110,11,0
83,9,0
125,27,0
89,21,0
119,25,0
183,7,0
219,3,0
200,4,0
188,11,0
158,9,0
208,1,0
191,1,0
211,4,0
181,8,0
274,16,0
231,12,0
196,15,0
211,5,0
215,14,0
253,11,0
275,14,0
217,16,0
267,12,0
317,23,0
235,28,0
306,31,0
292,28,0
295,31,0
292,42,0
345,9,0
228,22,0
234,15,0
229,15,0
215,10,0
262,12,0
220,15,0
273,7,0
249,11,0
227,33,0
271,2,0
227,30,0
301,11,0
378,27,0
194,4,0
6,4,0
0,1,0
204,6,0
291,11,0
250,31,0
251,39,0
236,39,0
183,38,0
251,31,0
285,4,0
245,13,0
173,16,1
183,16,0
169,8,0
282,23,0
304,17,0
267,12,0
230,19,0
244,17,0
226,8,0
284,10,0
203,7,0
197,4,0
190,4,0
257,16,0
290,22,0
249,18,0
274,13,0
325,26,0
227,41,0
189,34,0
182,31,0
226,30,0
278,9,1
235,14,2
252,16,0
252,6,0
268,19,0
289,19,1
347,18,0
267,19,0
211,3,0
260,9,0
196,4,0
263,25,0
