good,medium,bad
35,15,700
0,0,547
0,0,783
0,0,636
0,0,591
0,0,806
0,0,695
0,0,563
0,0,873
0,0,910
0,0,947
0,0,615
0,0,841
0,0,837
0,0,992
0,0,919
0,0,779
0,0,816
0,0,900
0,0,902
0,0,961
0,0,883
0,0,1091
0,0,834
0,0,926
0,0,809
0,0,1035
0,0,1067
0,0,1027
0,0,1101
0,0,1051
0,0,1018
0,0,1182
0,0,1095
0,0,986
0,0,1358
0,0,1252
0,0,1005
0,0,1024
0,0,1099
0,0,1119
0,0,1194
0,0,1411
0,0,1349
0,0,1457
0,0,1329
0,0,1613
0,0,1455
0,0,1276
0,0,1147
0,0,1141
0,0,1252
0,0,1202
0,0,1036
0,0,1458
0,0,1537
0,0,1250
0,0,1438
0,0,1472
0,0,1189
0,0,1084
0,0,1362
0,0,1161
0,0,1178
0,0,1367
0,0,1379
0,0,1363
0,0,1250
0,0,1305
0,0,1265
0,0,1311
0,0,1432
0,0,1334
0,0,1092
0,0,1292
0,0,1391
0,0,1554
0,0,1182
0,0,1234
0,0,1326
0,0,1293
0,0,1307
0,0,1270
0,0,1397
0,0,1280
0,0,1339
0,0,1184
0,0,1458
0,0,1446
0,0,1507
0,0,1447
0,0,1437
0,0,1348
0,0,1041
0,0,1287
0,0,1535
0,0,1631
0,0,1150
0,0,1311
0,0,1531
