server,bus1,bus2,bus3
696,54,0,0,
512,35,0,0,
720,63,0,0,
575,61,0,0,
494,97,0,0,
695,111,0,0,
584,111,0,0,
483,80,0,0,
764,109,0,0,
804,106,0,0,
851,96,0,0,
565,50,0,0,
765,76,0,0,
774,63,0,0,
895,97,0,0,
817,102,0,0,
711,68,0,0,
757,59,0,0,
829,71,0,0,
826,76,0,0,
872,89,0,0,
772,111,0,0,
934,157,0,0,
756,78,0,0,
818,108,0,0,
729,80,0,0,
927,108,0,0,
892,175,0,0,
833,194,0,0,
943,158,0,0,
873,178,0,0,
831,187,0,0,
1002,180,0,0,
921,174,0,0,
864,122,0,0,
1120,238,0,0,
1062,190,0,0,
906,99,0,0,
909,115,0,0,
995,104,0,0,
923,196,0,0,
1009,185,0,0,
1193,218,0,0,
1174,175,0,0,
1095,362,0,0,
1118,211,0,0,
1236,377,0,0,
1146,309,0,0,
1050,226,0,0,
1037,110,0,0,
974,167,0,0,
1069,183,0,0,
968,234,0,0,
865,171,0,0,
1022,436,0,0,
1240,297,0,0,
1099,151,0,0,
1176,262,0,0,
1217,255,0,0,
1065,124,0,0,
991,93,0,0,
997,365,0,0,
1047,114,0,0,
1017,161,0,0,
1143,224,0,0,
1134,245,0,0,
1188,175,0,0,
1045,205,0,0,
1114,191,0,0,
1064,201,0,0,
1088,223,0,0,
1187,245,0,0,
1166,168,0,0,
981,111,0,0,
990,302,0,0,
1124,267,0,0,
1277,277,0,0,
1071,111,0,0,
1001,233,0,0,
1101,225,0,0,
1059,234,0,0,
1050,257,0,0,
1101,169,0,0,
1123,274,0,0,
1098,182,0,0,
1180,159,0,0,
955,229,0,0,
1144,314,0,0,
1176,270,0,0,
1243,264,0,0,
1133,314,0,0,
1232,205,0,0,
1164,184,0,0,
924,117,0,0,
1066,221,0,0,
1342,193,0,0,
1312,319,0,0,
882,268,0,0,
972,339,0,0,
1291,240,0,0,
