good,medium,bad
558,135,57
502,41,4
763,20,0
613,23,0
581,10,0
746,60,0
677,18,0
518,45,0
706,142,25
790,84,36
890,57,0
536,78,1
676,145,20
693,137,7
654,268,70
661,190,68
644,97,38
738,63,15
763,121,16
794,108,0
861,100,0
775,50,58
781,148,162
779,55,0
879,47,0
725,83,1
912,119,4
737,220,110
898,124,5
775,244,82
917,125,9
868,121,29
883,252,47
885,196,14
866,120,0
769,419,170
829,372,51
815,190,0
769,250,5
841,240,18
816,163,140
765,304,125
968,363,80
903,373,73
860,335,262
993,298,38
1057,330,226
766,484,205
861,342,73
946,180,21
898,201,42
1026,209,17
917,237,48
903,122,11
862,343,253
822,504,211
917,293,40
883,442,113
987,398,87
896,229,64
694,187,203
676,221,465
870,253,38
793,337,48
966,297,104
1036,140,203
917,362,84
892,270,88
982,296,27
912,291,62
916,262,133
844,487,101
975,293,66
940,140,12
786,324,182
664,523,204
1020,447,87
1024,145,13
784,335,115
953,297,76
902,292,99
848,309,150
1024,208,38
806,436,155
854,322,104
728,455,156
768,331,85
664,448,346
882,339,225
880,441,186
696,575,176
966,435,36
919,358,71
882,143,16
873,320,94
965,351,219
785,587,259
927,164,59
829,240,242
924,408,199
