server,bus1,bus2,bus3
295,151,201,103,
284,93,113,57,
390,102,174,117,
338,89,119,90,
323,75,108,85,
398,178,135,95,
326,96,138,135,
301,78,97,87,
490,116,131,136,
581,71,126,132,
530,115,149,153,
264,120,134,97,
580,64,108,89,
613,41,102,81,
609,150,114,119,
691,78,87,63,
347,140,189,103,
471,101,128,116,
596,65,134,105,
579,78,125,120,
564,106,169,122,
467,106,167,143,
583,141,193,174,
425,117,153,139,
592,61,155,118,
504,71,130,104,
649,104,154,128,
625,116,159,167,
609,137,167,114,
836,84,121,60,
610,127,189,125,
644,114,160,100,
889,61,155,77,
655,138,176,126,
604,125,153,104,
1005,110,131,112,
981,79,105,87,
655,95,143,112,
672,99,152,101,
707,115,159,118,
686,131,212,90,
853,112,134,95,
1027,108,163,113,
888,131,202,128,
1001,115,194,147,
903,133,181,112,
1029,174,238,172,
982,169,173,131,
893,132,143,108,
822,98,121,106,
729,110,158,144,
803,141,178,130,
729,133,191,149,
347,166,276,247,
873,181,183,221,
1099,138,170,130,
904,119,128,99,
966,151,190,131,
957,144,203,168,
890,83,114,102,
646,100,168,170,
945,108,162,147,
932,55,107,67,
933,74,106,65,
876,141,204,146,
867,146,219,147,
1021,89,130,123,
828,132,154,136,
915,114,152,124,
825,138,160,142,
791,160,175,185,
966,145,180,141,
916,111,157,150,
670,107,200,115,
841,144,171,136,
910,138,182,161,
964,181,214,195,
792,117,143,130,
694,179,188,173,
900,137,159,130,
858,99,221,115,
922,120,161,104,
800,158,174,138,
991,133,162,111,
1012,78,108,82,
1028,80,123,108,
965,60,93,66,
1084,112,139,123,
1012,133,165,136,
977,168,188,174,
973,145,175,154,
1013,111,164,149,
1019,105,123,101,
647,172,118,104,
833,128,168,158,
897,186,233,219,
1080,171,178,202,
765,127,144,114,
795,149,209,158,
1000,195,182,154,
