server,bus1,bus2,bus3
225,33,80,62,
106,30,4,44,
157,47,21,47,
164,63,24,77,
230,95,72,69,
199,103,44,64,
143,55,42,40,
150,52,58,46,
163,51,57,57,
164,51,67,60,
131,44,65,56,
124,42,26,50,
91,15,52,26,
154,28,80,42,
129,19,43,29,
179,26,47,36,
177,65,65,73,
225,42,83,94,
179,60,92,77,
189,39,95,75,
204,25,51,54,
168,70,93,87,
160,59,81,84,
183,73,93,81,
230,28,65,55,
375,50,81,74,
227,72,91,96,
200,54,90,78,
175,71,89,97,
211,63,92,92,
289,59,97,83,
239,86,142,111,
330,27,54,55,
349,52,75,82,
443,62,87,88,
381,38,77,30,
498,49,71,56,
263,100,152,125,
467,56,77,52,
286,96,150,136,
412,66,136,94,
226,60,138,76,
227,61,126,84,
202,65,131,90,
305,43,54,48,
229,92,127,100,
189,84,99,98,
218,110,133,99,
227,94,108,91,
184,67,130,139,
194,77,162,113,
302,77,56,79,
241,125,129,129,
320,158,178,154,
156,59,97,84,
9,5,4,2,
1,0,0,1,
162,70,107,81,
322,87,87,108,
384,66,57,55,
418,48,55,59,
397,45,57,51,
191,55,121,75,
277,73,124,90,
341,54,83,100,
217,67,122,110,
193,39,91,57,
246,39,68,45,
161,47,96,50,
369,66,99,76,
222,100,146,174,
257,101,113,87,
216,82,108,92,
237,86,101,98,
222,66,96,84,
272,75,140,101,
172,59,96,93,
180,61,102,59,
157,58,97,76,
232,92,130,92,
262,97,153,112,
321,71,86,56,
321,92,59,102,
457,88,95,62,
399,36,56,45,
242,60,91,53,
357,17,29,23,
427,21,27,37,
386,63,56,71,
273,75,65,89,
366,52,56,62,
339,58,58,61,
410,43,61,60,
356,78,93,91,
447,69,113,101,
308,59,118,87,
245,51,67,65,
320,61,94,63,
224,75,38,63,
