server,bus1,bus2,bus3
98,106,225,321,
287,151,13,96,
383,222,26,152,
254,83,217,82,
266,112,166,47,
359,180,197,70,
291,182,125,97,
271,140,58,94,
374,234,107,158,
349,235,200,126,
395,200,169,183,
288,117,103,107,
369,164,212,96,
403,163,174,97,
428,202,205,157,
468,149,138,164,
271,181,210,117,
350,189,171,106,
395,167,170,168,
388,138,239,137,
397,184,224,156,
371,170,188,154,
419,196,267,209,
357,166,136,175,
402,200,148,176,
385,145,168,111,
428,200,252,155,
415,273,225,154,
471,187,240,129,
361,321,257,162,
417,161,232,241,
419,205,265,129,
442,262,238,240,
417,201,245,232,
424,150,266,146,
461,324,301,272,
451,256,238,307,
458,152,212,183,
428,191,248,157,
445,238,245,171,
413,240,281,185,
447,298,247,202,
463,389,318,241,
475,180,389,305,
476,224,370,387,
448,58,402,421,
505,593,97,418,
425,470,485,75,
490,404,129,253,
458,168,311,210,
449,205,333,154,
462,284,359,147,
455,272,322,153,
422,130,337,147,
487,410,299,262,
478,474,366,219,
458,215,330,247,
546,284,351,257,
566,204,383,319,
296,233,363,297,
388,180,317,199,
464,235,366,297,
390,146,349,276,
339,239,327,273,
581,207,334,245,
450,239,380,310,
284,368,367,344,
442,263,311,234,
445,247,338,275,
425,247,325,268,
438,273,322,278,
460,392,297,283,
566,157,305,306,
276,187,364,265,
592,75,339,286,
386,488,234,283,
438,159,366,591,
406,303,404,69,
447,298,379,110,
488,67,312,459,
473,245,362,213,
497,357,268,185,
420,193,368,289,
440,302,348,307,
474,254,309,243,
485,294,289,271,
449,228,302,205,
492,337,275,354,
495,452,336,163,
528,356,287,336,
396,415,352,284,
470,378,351,238,
494,241,357,256,
423,186,347,85,
472,93,313,409,
491,283,437,324,
460,648,287,236,
457,296,312,85,
447,305,275,284,
