good,medium,bad
70,42,638
281,125,141
366,304,113
328,186,122
450,121,20
319,292,195
525,116,54
347,207,9
384,230,259
137,262,511
362,398,187
332,207,76
305,368,168
272,451,114
229,416,347
221,403,295
289,225,265
438,300,78
379,318,203
374,365,163
452,411,98
485,291,107
262,259,570
462,291,81
458,378,90
395,329,85
323,471,241
292,290,485
171,273,583
222,390,489
329,409,313
507,387,124
328,510,344
350,453,292
408,418,160
160,426,772
175,423,654
211,472,322
217,429,378
277,531,291
417,405,297
315,541,338
149,509,753
226,373,750
4,69,1384
16,42,1271
47,101,1465
30,94,1331
57,222,997
126,428,593
255,477,409
126,354,772
238,271,693
313,391,332
310,553,595
59,495,983
146,478,626
187,486,765
64,301,1107
51,416,722
267,405,412
59,572,731
43,551,567
140,501,537
145,492,730
76,520,783
95,426,842
256,452,542
170,588,547
283,556,426
349,526,436
199,565,668
217,458,659
135,357,600
195,479,618
49,190,1152
142,427,985
34,236,912
207,365,662
159,532,635
89,445,759
109,469,729
116,482,672
147,572,678
128,610,542
106,588,645
105,552,527
55,651,752
98,652,696
91,594,822
109,569,769
127,607,703
99,462,787
227,330,484
260,481,546
119,572,844
30,511,1090
214,509,427
269,391,651
