server,bus1,bus2,bus3
470,85,106,89,
39,127,224,157,
267,152,245,119,
242,104,216,74,
202,125,198,66,
432,80,189,105,
239,145,200,111,
256,91,149,67,
459,125,209,80,
534,110,177,89,
498,119,211,119,
271,79,157,108,
580,57,120,84,
604,49,108,76,
606,95,143,148,
596,102,143,78,
282,149,234,114,
477,83,148,108,
624,66,115,95,
612,81,113,96,
588,110,156,107,
507,143,124,109,
630,112,189,160,
435,134,161,104,
601,117,131,77,
538,91,112,68,
667,117,154,97,
630,128,174,135,
603,142,145,137,
790,80,117,114,
600,151,161,139,
630,114,151,123,
874,91,136,81,
631,162,171,131,
582,130,154,120,
1003,106,140,109,
958,76,125,93,
677,80,144,104,
644,94,178,108,
676,116,201,106,
713,102,205,99,
905,92,100,97,
1056,119,133,103,
948,108,162,131,
1043,125,144,145,
938,131,140,120,
1019,211,184,199,
1002,153,152,148,
893,120,135,128,
804,119,118,106,
760,113,149,119,
839,137,128,148,
748,149,144,161,
426,129,258,223,
867,139,282,170,
1073,185,148,131,
945,100,116,89,
1000,147,181,110,
984,143,198,147,
926,78,117,68,
686,98,156,144,
963,155,143,101,
947,55,107,52,
962,61,97,58,
936,99,229,103,
932,108,204,135,
1011,119,142,91,
893,99,142,116,
967,71,172,95,
864,127,158,116,
830,128,166,187,
1011,97,184,140,
980,73,160,121,
609,74,250,159,
927,85,126,154,
944,146,167,134,
972,209,196,177,
825,95,147,115,
777,154,152,151,
951,96,142,137,
927,136,121,109,
911,126,156,114,
845,113,168,144,
928,134,193,142,
1001,63,133,83,
1036,85,127,91,
971,82,56,75,
1096,145,106,111,
1043,167,117,119,
1025,147,158,177,
1006,125,167,149,
1006,123,151,157,
1018,108,120,102,
566,108,216,151,
869,150,138,130,
927,200,176,232,
1136,148,183,164,
770,115,143,122,
786,211,159,155,
