good,medium,bad
62,67,621
210,142,195
542,229,12
435,190,11
503,83,5
649,154,3
566,102,27
425,138,0
631,205,37
696,187,27
819,126,2
367,201,47
590,215,36
559,260,18
486,299,207
476,183,260
332,70,377
691,102,23
648,222,30
685,217,0
752,204,5
743,91,49
610,247,234
722,110,2
817,109,0
657,152,0
712,307,16
557,368,142
740,240,47
877,200,24
825,218,8
780,188,50
914,245,23
777,250,68
700,278,8
800,474,84
880,353,19
601,393,11
579,424,21
634,416,49
915,144,60
868,314,12
1045,323,43
1028,310,11
1025,303,129
1098,214,17
1161,330,122
1004,422,29
956,303,17
989,147,11
951,164,26
1077,174,1
1000,178,24
767,221,48
956,201,301
818,476,243
984,247,19
978,370,90
1138,311,23
956,218,15
593,307,184
721,439,202
884,262,15
845,314,19
1132,231,4
1111,183,85
1086,267,10
998,221,31
1108,178,19
1008,241,16
960,137,214
1035,379,18
1048,284,2
795,277,20
857,330,105
865,447,79
1207,315,32
1067,109,6
964,230,40
1068,213,45
941,287,65
903,311,93
1073,178,19
931,359,107
835,356,89
756,455,128
807,327,50
772,556,130
1003,321,122
1024,385,98
890,476,81
1156,270,11
1007,311,30
766,230,45
989,248,50
1014,358,163
1072,424,135
980,142,28
844,247,220
