good,medium,bad
107,120,263
154,176,156
176,131,225
176,244,234
154,217,253
180,214,190
142,148,172
149,286,409
126,248,478
124,244,364
136,249,295
78,170,460
80,202,192
105,215,374
99,221,326
91,186,335
169,259,258
143,234,405
135,212,533
141,230,391
117,209,622
112,205,461
164,187,389
116,243,551
117,178,621
120,212,428
98,191,503
122,206,438
114,189,497
146,220,252
159,263,438
99,178,689
72,133,721
85,126,651
64,132,528
85,181,692
83,194,533
107,263,456
112,186,728
78,180,746
45,89,1150
61,179,804
86,220,590
116,194,594
69,148,855
69,189,824
69,132,1067
71,125,938
84,168,766
82,156,826
144,167,429
110,166,566
88,128,918
103,231,798
19,48,1327
8,24,1134
72,170,786
90,146,520
114,160,666
41,176,899
37,125,942
34,95,955
48,189,631
94,212,336
150,210,172
180,209,221
153,260,429
152,231,493
92,71,65
86,189,785
74,149,1143
72,140,806
30,67,1175
115,215,760
37,75,1168
47,81,1246
24,56,1216
7,10,1443
4,9,1449
2,5,1459
3,15,1280
6,12,1534
1,4,1277
6,19,1211
13,24,1121
68,103,1069
6,31,1267
13,78,1139
36,71,1217
8,8,1324
32,76,962
78,154,850
62,113,1015
89,131,274
122,152,620
132,238,818
85,171,928
45,110,959
92,168,992
4,16,1496
