server,bus1,bus2,bus3
431,15,23,21,
432,19,18,17,
463,24,28,17,
573,23,27,31,
561,25,22,16,
515,22,27,20,
416,15,15,16,
740,38,38,28,
731,29,58,34,
668,21,25,18,
607,24,21,28,
605,30,35,38,
429,19,14,12,
622,23,25,24,
608,13,14,11,
532,23,34,23,
624,21,28,13,
650,41,44,47,
756,36,49,39,
662,30,34,36,
842,52,39,15,
711,25,24,18,
624,33,35,48,
793,38,55,24,
781,54,45,36,
674,26,32,28,
717,18,37,20,
693,23,31,19,
665,47,42,46,
558,21,26,13,
741,46,37,36,
808,48,64,46,
797,34,51,44,
736,35,48,43,
623,32,42,27,
811,38,61,48,
727,26,31,26,
729,26,42,29,
889,43,64,30,
845,46,59,54,
1032,72,101,79,
856,55,77,56,
796,51,27,22,
769,44,52,39,
922,47,63,40,
870,70,61,81,
1037,64,92,75,
972,59,61,42,
870,44,56,48,
880,51,84,49,
614,35,54,37,
690,43,57,52,
965,57,56,56,
930,66,69,67,
1075,98,130,91,
993,39,72,62,
873,40,59,56,
639,31,41,45,
744,59,75,62,
915,61,75,65,
909,64,62,69,
925,46,55,58,
776,32,41,19,
581,14,30,17,
496,13,16,7,
549,19,18,24,
736,34,36,36,
763,36,27,50,
213,7,5,3,
858,74,81,47,
1070,91,94,111,
872,46,60,40,
1079,65,77,51,
886,71,70,63,
1047,77,85,71,
1068,110,113,83,
1030,92,89,85,
1154,84,126,96,
1138,107,115,102,
1172,96,100,98,
1089,73,69,67,
1189,118,132,113,
1033,68,81,100,
1037,55,95,49,
969,56,74,59,
1006,69,93,72,
1097,81,66,60,
1002,76,82,70,
1067,66,99,92,
1051,82,110,97,
902,54,66,48,
889,56,73,64,
993,65,76,56,
338,75,49,32,
744,46,52,52,
929,86,85,88,
972,72,86,54,
955,57,65,37,
1035,64,83,70,
1140,100,150,126,
