server,bus1,bus2,bus3
152,128,101,109,
148,108,107,123,
189,126,105,112,
217,149,146,142,
198,153,148,125,
177,138,125,144,
143,99,118,102,
280,182,185,197,
305,175,202,170,
229,163,175,165,
205,160,156,159,
254,155,154,145,
172,93,104,105,
231,164,149,150,
197,130,168,151,
193,155,127,137,
208,163,161,154,
277,183,168,154,
283,189,203,205,
234,167,197,164,
326,227,196,199,
242,170,189,177,
250,154,166,170,
333,196,202,179,
301,206,202,207,
221,180,175,184,
266,168,165,193,
254,174,144,194,
252,203,173,172,
203,146,132,137,
289,192,183,196,
336,201,219,210,
288,225,205,208,
290,189,195,188,
246,156,158,164,
334,234,196,194,
244,191,193,182,
261,171,205,189,
338,220,246,222,
328,223,224,229,
438,289,287,270,
328,221,241,254,
291,220,181,204,
309,209,193,193,
348,222,261,241,
339,266,251,226,
432,303,256,277,
385,257,238,254,
331,236,220,231,
334,240,252,238,
258,170,150,162,
266,200,195,181,
378,248,257,251,
358,267,262,245,
446,316,331,301,
351,290,265,260,
357,223,227,221,
244,177,177,158,
296,215,209,220,
365,255,255,241,
349,249,261,245,
353,243,239,249,
285,203,182,198,
185,175,147,135,
161,121,126,124,
190,150,129,141,
280,180,183,199,
302,200,185,189,
62,43,62,61,
356,269,207,228,
452,295,308,311,
363,207,239,209,
430,269,291,282,
370,233,248,239,
425,253,311,291,
452,303,306,313,
406,291,306,293,
489,343,301,327,
479,361,287,335,
499,306,351,310,
409,295,297,297,
472,363,344,373,
413,301,256,312,
424,273,279,260,
380,278,260,240,
385,294,291,270,
437,284,289,294,
427,271,271,261,
432,283,288,321,
423,299,293,325,
362,236,248,224,
362,230,249,241,
363,250,279,298,
175,107,103,109,
272,195,218,209,
376,285,258,269,
402,244,257,281,
358,259,265,232,
431,248,281,292,
512,352,328,324,
