good,medium,bad
265,118,107
321,100,65
338,116,78
376,178,100
410,140,74
370,136,78
329,83,50
412,259,173
462,205,185
372,223,137
376,190,114
354,209,145
235,196,43
278,246,170
210,257,179
191,212,209
348,225,113
438,183,161
416,211,253
335,198,229
473,212,263
458,182,138
422,151,167
536,215,159
450,176,290
326,213,221
369,231,192
334,177,255
384,164,252
308,205,105
486,198,176
490,195,281
380,196,350
434,200,228
321,143,260
390,232,336
325,236,249
346,298,182
415,247,364
391,274,339
533,122,629
407,163,474
364,237,295
417,188,299
478,234,360
452,131,499
518,172,578
509,137,488
430,178,410
464,206,394
422,109,209
399,128,315
493,125,516
548,196,388
524,113,757
370,93,703
439,231,358
377,177,202
417,197,326
417,209,490
405,178,521
406,196,482
326,280,262
222,206,214
351,150,31
374,147,89
427,237,178
485,213,178
138,64,26
479,138,443
588,139,639
466,182,370
458,128,686
480,186,424
461,125,694
472,144,758
465,72,759
503,32,925
534,89,839
531,87,848
428,48,822
497,77,978
467,76,739
447,77,712
386,91,681
397,88,755
437,97,770
423,125,682
474,118,732
431,52,857
431,99,540
475,175,432
435,180,575
271,120,103
401,169,324
567,167,454
525,146,513
433,232,449
536,273,443
552,151,813
